MQ	Gamma/MQ(%)	kappaSinglet	BRsinglet(Wt)(%)	BRsinglet(Zb)(%)	BRsinglet(Hb)(%)	kappaDoublet1	BRdoublet1(Zb)(%)	BRdoublet1(Hb)(%)	kappaDoublet2	BRdoublet2(Wt)(%)
1500	20	0.3723150454805525	0.49181262895301797	0.2558554347754725	0.2523319362715095	0.5222742962919259	0.5034667316670067	0.4965332683329931	0.5308975833305815	100
1500	30	0.4559909424942329	0.4918126289530179	0.2558554347754726	0.25233193627150946	0.6396527658431875	0.503466731667007	0.4965332683329931	0.6502140924183184	100
1600	1	0.0779391724772908	0.4928110886683533	0.2551397235451564	0.2520491877864903	0.10943869743694687	0.5030467304091405	0.49695326959085934	0.11102366371926257	100
1600	10	0.24646530397694688	0.4928110886683533	0.2551397235451564	0.25204918778649027	0.34607554806278357	0.5030467304091407	0.4969532695908594	0.3510876515294707	100
1600	20	0.34855457553860586	0.4928110886683533	0.2551397235451564	0.2520491877864903	0.4894247336760904	0.5030467304091405	0.49695326959085934	0.4965129183746966	100
1600	30	0.42689042879097966	0.49281108866835327	0.25513972354515635	0.2520491877864903	0.5994204325019861	0.5030467304091405	0.49695326959085945	0.6081016503590803	100
1700	1	0.07326903978953105	0.49363711909926816	0.25454795497448807	0.25181492592624366	0.10296498699865456	0.5026986862103546	0.4973013137896454	0.10428373935477359	100
1700	10	0.23169704770842214	0.4936371190992681	0.2545479549744881	0.25181492592624377	0.3256038781653729	0.5026986862103545	0.4973013137896455	0.32977413928042254	100
1700	20	0.3276691072310566	0.49363711909926816	0.2545479549744881	0.25181492592624366	0.46047342046274736	0.5026986862103546	0.49730131378964537	0.4663710602902876	100
1700	30	0.40131105859469723	0.4936371190992682	0.25454795497448807	0.25181492592624377	0.5639624601238926	0.5026986862103545	0.49730131378964565	0.5711855642559872	100
1800	1	0.0691309704650972	0.4943283162459741	0.2540530196002858	0.2516186641537401	0.09721613167519666	0.5024070513781526	0.4975929486218475	0.09832521603843415	100
1800	10	0.2186113235275369	0.4943283162459741	0.25405301960028587	0.2516186641537401	0.3074244014044619	0.5024070513781526	0.4975929486218474	0.31093163410957	100
1800	20	0.30916309862097524	0.4943283162459741	0.2540530196002858	0.25161866415374007	0.4347637578706205	0.5024070513781526	0.49759294862184733	0.4397237339285827	100
1800	30	0.3786459194595714	0.494328316245974	0.2540530196002858	0.2516186641537402	0.532474682718977	0.5024070513781526	0.4975929486218475	0.5385493879581914	100
1900	1	0.06543838169593338	0.49491254700140164	0.25363484764991684	0.25145260534868163	0.0920765970818641	0.5021602618400831	0.497839738159917	0.09301828295785973	100
1900	10	0.20693433255462157	0.4949125470014016	0.2536348476499169	0.2514526053486815	0.2911717659763038	0.5021602618400832	0.4978397381599168	0.2941496381848609	100
1900	20	0.29264933961937006	0.49491254700140164	0.25363484764991695	0.2514526053486816	0.41177906042381374	0.5021602618400832	0.49783973815991683	0.41599040768816914	100
1900	30	0.3584207778149589	0.4949125470014015	0.2536348476499168	0.2514526053486816	0.5043242924005131	0.502160261840083	0.49783973815991694	0.5094821183641814	100
2000	1	0.062122607351889784	0.4954108248611113	0.2532783205632412	0.25131085457564767	0.08745420788416927	0.5019495721316772	0.49805042786832276	0.08826061094591095	100
2000	10	0.19644893342029296	0.49541082486111127	0.2532783205632411	0.2513108545756476	0.27655448787982984	0.5019495721316771	0.4980504278683228	0.27910455826706687	100
2000	20	0.27782074595670747	0.49541082486111127	0.2532783205632411	0.2513108545756476	0.3911071074948011	0.5019495721316772	0.4980504278683228	0.3947134516214377	100
2000	30	0.34025953377666307	0.49541082486111127	0.2532783205632412	0.2513108545756476	0.4790064240690566	0.5019495721316772	0.49805042786832276	0.483423275542628	100
