mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(tH_tj)(pb),QCDscaleUp(%) ,QCDscaleUp(%),sigmaSinglet(tH_tj)(fb),kappaSinglet,sigmaDoublet2(tH_tj)(fb),kappaDoublet2
1000,200,20,0.0784712,30.7,-21.4,17.518194972900673,0.5604684887292666,74.57091052380419,0.8050469756559065
1000,300,30,0.0499108,30.6,-21.4,25.070102569098786,0.6864309071477639,106.71763719919973,0.985977154663881
1100,11,1,1.14911,30.5,-21.4,0.524415896906939,0.1136288609745443,2.2075824694849153,0.1627604662956892
1100,110,10,0.122238,31.6,-21.9,5.578539078600865,0.35932600861018005,23.48343203913439,0.5146937865254464
1100,220,20,0.0587896,31.4,-21.8,10.731853630305245,0.5081637146899081,45.17683784773618,0.7278869333734488
1100,330,30,0.0374632,31.2,-21.7,15.387271772157257,0.6223709033937637,64.77429768579728,0.8914757886020827
1200,12,1,0.868119,31.2,-21.8,0.3302294414038352,0.10395010776979453,1.378543039865945,0.1485853798701011
1200,120,10,0.0927904,32.3,-22.3,3.529714469979168,0.32871910357251677,14.734795585210898,0.4698682273908531
1200,240,20,0.0446943,32,-22.2,6.8006223676410436,0.4648790144833793,28.389202948757262,0.6644940197043498
1200,360,30,0.0284889,31.9,-22.1,9.753370424894225,0.569358188806095,40.715451830444,0.8138356427032839
1300,13,1,0.660608,31.9,-22.1,0.21278416049226143,0.09580399635564343,0.8825499981818437,0.13672049783575732
1300,130,10,0.0710586,32.9,-22.6,2.288822500901506,0.3029588374303041,9.493189198557145,0.4323481759931147
1300,260,20,0.0342312,32.6,-22.4,4.4103959713734655,0.42844849673472174,18.292691276982616,0.6114326541567325
1300,390,30,0.021836,32.4,-22.4,6.330107167424743,0.5247400990312865,26.254943301123916,0.7488490073798053
1400,14,1,0.505933,32.5,-22.5,0.13981954369393954,0.08885075759234791,0.5769766181616861,0.12663644740398988
1400,140,10,0.0546324,33.5,-22.9,1.5098199245561725,0.2809707658233178,6.230393628021199,0.40045960858872515
1400,280,20,0.0264898,33.2,-22.8,2.928286352970624,0.3973526676576909,12.083809690041509,0.5663354096487963
1400,420,30,0.0168863,33,-22.7,4.200025071721105,0.4866556418475235,17.33174203014492,0.6936163884548179
1500,15,1,0.390147,33.1,-22.8,0.09355005400500732,0.08284470350857119,0.38446926002789933,0.11795575719154978
1500,150,10,0.0424195,34.1,-23.2,1.0171413636053606,0.2619779551684276,4.180217655333366,0.3730088558550835
1500,300,20,0.0205711,33.8,-23,1.9730281313888394,0.37049277724196095,8.108692974658187,0.52751418283553
1500,450,30,0.0131891,33.4,-22.8,2.846252606196375,0.45375912881471814,11.697445233951738,0.6460702900141403
1600,16,1,0.302409,33.8,-23.1,0.0635238545896271,0.07760361925420972,0.26020165621302727,0.11040157767026838
1600,160,10,0.0330953,34.6,-23.5,0.6951979024434081,0.2454041915158001,2.8476175883875827,0.3491204427140339
1600,320,20,0.0161514,34.3,-23.3,1.357101389203236,0.34705393590484895,5.558857084490327,0.49373086498788593
1600,480,30,0.0103967,34,-23.1,1.965532153840588,0.425052528095729,8.05106562051719,0.6046943447416464
1700,17,1,0.235392,34.3,-23.4,0.04368209879277468,0.07298942184893216,0.1784366442673768,0.1037659965263672
1700,170,10,0.0259226,35.2,-23.7,0.4810501521570745,0.23081281814148397,1.965037790020691,0.32813689270044066
1700,340,20,0.0127393,34.7,-23.5,0.9456215353976253,0.3264186177852414,3.8627615931134347,0.4640556439719282
1700,510,30,0.00824156,34.4,-23.3,1.3764604332939177,0.3997795280592057,5.622691845667729,0.5683497699949402
1800,18,1,0.184145,34.8,-23.6,0.03041185386789597,0.06889551061579145,0.12394443216662591,0.09788969041876988
1800,180,10,0.0204522,35.8,-24,0.33777149402752277,0.2178667341062107,1.3765979611492385,0.3095543811720746
1800,360,20,0.0101044,35.2,-23.7,0.6675034048663133,0.30811009016293617,2.720430357347644,0.4377760041455586
1800,540,30,0.00657392,34.8,-23.5,0.9771244668131897,0.37735625275105616,3.9823003793637786,0.536163915895576
1900,19,1,0.144519,35.4,-23.9,0.021380386121141917,0.06523824710921508,0.08696781303598977,0.09264842368959574
1900,190,10,0.0161856,36.3,-24.3,0.23945251323518327,0.2063014514220152,0.9740077323226116,0.2929800404834234
1900,380,20,0.00806512,35.6,-23.9,0.4772670160002325,0.2917543105382681,1.941352620133883,0.41433634675627584
1900,570,30,0.00526281,35.1,-23.7,0.7007301385560806,0.35732459553813295,2.8503211931409966,0.507456315720876
2000,20,1,0.113803,36,-24.2,0.015169915614591979,0.06195106839685448,0.06160409538770665,0.08794383607832325
2000,200,10,0.0128858,36.7,-24.5,0.17176743901875102,0.1959064796149362,0.6975370177824044,0.27810282817999155
2000,400,20,0.00644459,36,-24.1,0.34362498869324476,0.2770536004282111,1.3954399694020718,0.39329679134645856
2000,600,30,0.00423904,35.6,-23.9,0.5085568146550788,0.339319976225026,2.0652179824879253,0.48168822813634304
