MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(bW_bj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	sigmaSinglet(bW_bj)(fb)	kappaSinglet	sigmaDoublet(bW_bj)(fb)	kappaDoublet
1400	14	1	1614.53	34.8	-23.5	4.446262732461788	0.08885075759234791	17.247744482114136	0.12469396424339865
1400	140	10	155.936	35	-23.6	42.9432977677195	0.2809707658233178	166.58372923159993	0.39431693748473423
1500	15	1	1407.78	35.6	-23.9	2.9302066177449344	0.08284470350857119	11.411892728340609	0.11638033606317565
1500	150	10	136.13	35.8	-24	28.334613851142766	0.2619779551684276	110.35111715672952	0.3680269368154687
1500	300	20	64.5831	35.8	-24	53.77028428148792	0.37049277724196095	209.41209827208638	0.520468685363062
1600	16	1	1225.22	36.3	-24.2	1.9635702533412014	0.07760361925420972	7.672099598452448	0.10910607262232529
1600	160	10	118.295	36.4	-24.3	18.958272238373286	0.2454041915158001	74.0741272586909	0.3450236960422881
1600	160	10	118.295	36.5	-24.3	18.958272238373286	0.2454041915158001	74.0741272586909	0.3450236960422881
1600	320	20	55.9994	36.5	-24.3	35.898452863960834	0.34705393590484895	140.26312801083174	0.48793719028309623
1600	320	20	55.9994	36.6	-24.4	35.898452863960834	0.34705393590484895	140.26312801083174	0.48793719028309623
1600	320	20	55.9994	36.6	-24.3	35.898452863960834	0.34705393590484895	140.26312801083174	0.48793719028309623
1600	480	30	35.4644	36.6	-24.3	51.15257407105197	0.425052528095729	199.86432485547198	0.5975985713604439
1700	17	1	1064.34	37	-24.6	1.3348256406386854	0.07298942184893216	5.229482910740495	0.10268771156157992
1700	17	1	1064.34	37	-24.5	1.3348256406386854	0.07298942184893216	5.229482910740495	0.10268771156157992
1700	170	10	102.139	37.1	-24.6	12.809605587424567	0.23081281814148397	50.18454206551695	0.32472705624499837
1700	340	20	48.3706	37	-24.6	24.26529760530567	0.3264186177852414	95.06481991929803	0.45923340701116755
1700	340	20	48.3706	37	-24.5	24.26529760530567	0.3264186177852414	95.06481991929803	0.45923340701116755
1700	340	20	48.3706	37.1	-24.6	24.26529760530567	0.3264186177852414	95.06481991929803	0.45923340701116755
1800	18	1	921.811	37.7	-24.9	0.9177196717543145	0.06889551061579145	3.603472234883713	0.09698257433821751
1800	180	10	89.0513	37.8	-24.9	8.865605835176074	0.2178667341062107	34.811245150068714	0.3066858282553644
1800	360	20	41.8982	37.7	-24.9	16.68489629700518	0.30811009016293617	65.51408060507187	0.43371925770636205
1900	19	1	798.678	38.3	-25.2	0.6392714620521387	0.06523824710921508	2.5149123572098144	0.09187802853813333
1900	190	10	77.2811	38.3	-25.2	6.185672046306211	0.2063014514220152	24.3346121176203	0.2905438371064519
1900	190	10	77.2811	38.3	-25.1	6.185672046306211	0.2063014514220152	24.3346121176203	0.2905438371064519
1900	190	10	77.2857	38.3	-25.2	6.18604023583008	0.2063014514220152	24.3360605858194	0.2905438371064519
1900	380	20	36.4692	38.2	-25.1	11.676154246828808	0.2917543105382681	45.93432734471522	0.4108910348998635
1900	380	20	36.4692	38.3	-25.1	11.676154246828808	0.2917543105382681	45.93432734471522	0.4108910348998635
2000	20	1	691.59	38.9	-25.5	0.4501407902626789	0.06195106839685448	1.773745069182007	0.0872839734594984
2000	20	1	691.59	39	-25.5	0.4501407902626789	0.06195106839685448	1.773745069182007	0.0872839734594984
2000	200	10	66.4705	38.9	-25.4	4.32641932346555	0.1959064796149362	17.047921690750673	0.2760161593617015
2000	400	20	31.6398	38.8	-25.4	8.237461256382026	0.2770536004282111	32.45908080793813	0.39034579600345176
