mass,Gamma/MQ(%),kappaSinglet,BRsinglet(Wb)(%),BRsinglet(Zt)(%),BRsinglet(Ht)(%),kappaDoublet1,BRdoublet1(Wb)(%),kappaDoublet2,BRdoublet2(Zt)(%),BRdoublet2(Ht)(%)
1800,1,0.06889551061579145,0.5046548256952248,0.24548127228386413,0.24986390202091108,0.09698257433821751,100,0.09788969041876988,0.4955761860977065,0.5044238139022935
1800,10,0.2178667341062107,0.5046548256952247,0.24548127228386415,0.24986390202091105,0.3066858282553644,100,0.3095543811720746,0.4955761860977065,0.5044238139022936
1800,20,0.30811009016293617,0.5046548256952248,0.24548127228386415,0.24986390202091108,0.43371925770636205,100,0.4377760041455586,0.4955761860977065,0.5044238139022936
1800,30,0.37735625275105616,0.5046548256952247,0.24548127228386413,0.24986390202091105,0.5311954364996339,100,0.536163915895576,0.49557618609770654,0.5044238139022936
1900,1,0.06523824710921508,0.5041749121279039,0.24594329721626507,0.2498817906558311,0.09187802853813333,100,0.09264842368959574,0.49602834393024703,0.5039716560697528
1900,10,0.2063014514220152,0.5041749121279039,0.24594329721626515,0.24988179065583094,0.2905438371064519,100,0.2929800404834234,0.49602834393024714,0.5039716560697529
1900,20,0.2917543105382681,0.5041749121279039,0.24594329721626515,0.24988179065583094,0.4108910348998635,100,0.41433634675627584,0.49602834393024714,0.5039716560697529
1900,30,0.35732459553813295,0.504174912127904,0.24594329721626515,0.249881790655831,0.5032366876943903,100,0.507456315720876,0.49602834393024714,0.5039716560697528
2000,1,0.06195106839685448,0.5037656880110104,0.24633796922986684,0.2498963427591227,0.0872839734594984,100,0.08794383607832325,0.49641462365329664,0.5035853763467034
2000,10,0.1959064796149362,0.5037656880110103,0.24633796922986687,0.24989634275912265,0.2760161593617015,100,0.27810282817999155,0.4964146236532968,0.5035853763467032
2000,20,0.2770536004282111,0.5037656880110104,0.2463379692298669,0.24989634275912265,0.39034579600345176,100,0.39329679134645856,0.4964146236532968,0.5035853763467033
2000,30,0.339319976225026,0.5037656880110104,0.24633796922986692,0.24989634275912267,0.478074011724495,100,0.48168822813634304,0.49641462365329675,0.5035853763467032
