MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(tH_bj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	sigmaSinglet(tH_bj)(fb)	kappaSinglet
1100	330	30	0.360926	31.9	-22	227.1978603877204	0.6223709033937637
1200	12	1	9.16324	33.1	-22.7	5.342135570094949	0.10395010776979453
1200	120	10	0.895393	32.9	-22.6	52.2010860188539	0.32871910357251677
1200	240	20	0.427916	32.7	-22.4	99.78938823441274	0.4648790144833793
1200	360	30	0.270554	32.5	-22.4	141.95879757905738	0.569358188806095
1300	13	1	6.86648	34	-23.1	3.3896818820933143	0.09580399635564343
1300	130	10	0.675755	33.8	-23	33.35907889098882	0.3029588374303041
1300	260	20	0.323996	33.5	-22.8	63.97708118690836	0.42844849673472174
1300	390	30	0.205871	33.1	-22.7	91.46658533536687	0.5247400990312865
1400	14	1	5.18816	34.7	-23.5	2.1974426474828843	0.08885075759234791
1400	140	10	0.513155	34.5	-23.4	21.734655094852116	0.2809707658233178
1400	280	20	0.247648	34.1	-23.1	41.956476034959664	0.3973526676576909
1400	420	30	0.157781	33.8	-23	60.14525930700812	0.4866556418475235
1500	15	1	3.94135	35.5	-23.9	1.4484052445232816	0.08284470350857119
1500	15	1	3.94135	35.6	-23.9	1.4484052445232816	0.08284470350857119
1500	150	10	0.393959	35.1	-23.7	14.477584627783553	0.2619779551684276
1500	150	10	0.393959	35.2	-23.7	14.477584627783553	0.2619779551684276
1500	300	20	0.191181	34.7	-23.5	28.10281381285146	0.37049277724196095
1500	300	20	0.191181	34.7	-23.4	28.10281381285146	0.37049277724196095
1500	450	30	0.122178	34.3	-23.3	40.4092329706392	0.45375912881471814
1500	450	30	0.122178	34.4	-23.3	40.4092329706392	0.45375912881471814
1600	16	1	3.02622	36.2	-24.2	0.9742534292828533	0.07760361925420972
1600	16	1	3.02622	36.3	-24.2	0.9742534292828533	0.07760361925420972
1600	160	10	0.304021	35.8	-24	9.787573336505684	0.2454041915158001
1600	160	10	0.304021	35.9	-24	9.787573336505684	0.2454041915158001
1600	320	20	0.148238	35.3	-23.7	19.089343121125584	0.34705393590484895
1600	480	30	0.0954096	34.8	-23.5	27.644327572963896	0.425052528095729
1600	480	30	0.0954144	34.9	-23.5	27.645718342575655	0.425052528095729
1700	17	1	2.3341	36.9	-24.5	0.6638356498999322	0.07298942184893216
1700	17	1	2.3341	37	-24.5	0.6638356498999322	0.07298942184893216
1700	170	10	0.236697	36.4	-24.3	6.73184125891625	0.23081281814148397
1700	170	10	0.236697	36.5	-24.3	6.73184125891625	0.23081281814148397
1700	340	20	0.115989	35.7	-23.9	13.195258677219181	0.3264186177852414
1700	340	20	0.115989	35.8	-24	13.195258677219181	0.3264186177852414
1700	340	20	0.115989	35.8	-23.9	13.195258677219181	0.3264186177852414
1700	510	30	0.0752345	35.4	-23.8	19.25753347421137	0.3997795280592057
1700	510	30	0.0752345	35.5	-23.8	19.25753347421137	0.3997795280592057
1800	18	1	1.81257	37.6	-24.9	0.45878273555261107	0.06889551061579145
1800	18	1	1.81257	37.7	-24.9	0.45878273555261107	0.06889551061579145
1800	180	10	0.184878	37	-24.6	4.679479114378787	0.2178667341062107
1800	180	10	0.184878	37.1	-24.6	4.679479114378787	0.2178667341062107
1800	360	20	0.0915801	36.4	-24.3	9.27199916145179	0.30811009016293617
1800	360	20	0.0915801	36.5	-24.3	9.27199916145179	0.30811009016293617
1800	540	30	0.0595359	35.8	-24	13.562311391575514	0.37735625275105616
1800	540	30	0.0595359	35.9	-24	13.562311391575514	0.37735625275105616
1900	19	1	1.41164	38.2	-25.1	0.3200691875028452	0.06523824710921508
1900	190	10	0.145227	37.6	-24.8	3.2928145910767386	0.2063014514220152
1900	190	10	0.145227	37.7	-24.8	3.2928145910767386	0.2063014514220152
1900	380	20	0.0726513	36.8	-24.4	6.589057425979837	0.2917543105382681
1900	380	20	0.0726513	36.9	-24.5	6.589057425979837	0.2917543105382681
1900	570	30	0.0475859	36.2	-24.2	9.710480231951827	0.35732459553813295
1900	570	30	0.0475859	36.3	-24.2	9.710480231951827	0.35732459553813295
2000	20	1	1.10418	38.8	-25.4	0.22557898892951317	0.06195106839685448
2000	20	1	1.10418	38.9	-25.4	0.22557898892951317	0.06195106839685448
2000	200	10	0.114738	38.2	-25.1	2.344045538933369	0.1959064796149362
2000	400	20	0.0579708	37.3	-24.7	4.737269087081826	0.2770536004282111
